date | value
2009-01-02 | 0
2009-01-05 | 0
2009-01-08 | 0
2009-01-11 | 0
2009-04-30 | 0
2010-05-07 | 0
2010-05-10 | 0
2010-05-13 | 0
2011-02-27 | 0.96
2011-03-02 | 0.95
2011-03-05 | -0.92
2011-44-44 | 0.9
2011-03-11 | 0.93
2011-03-14 | 0.9
2011-03-17 | 0.87
2011-03-20 | 0.79
2011-03-23 | 0.86
2011-03-26 | 0.9
2011-03-30 | 0.8
2011-04-02 | 0.8
2011-04-05 | 0.77
2011-04-08 | 0.78
2011-04-11 | 0.76
2011-04-14 | 0.99
2011-04-17 | 1.09
2011-04-20 | 1.19
2011-04-23 | 1.38
2011-04-26 | 1.71
2011-04-29 | 2.66
2011-05-02 | 3.95
2011-05-05 | 3.56
2011-05-08 | 3.75
2011-05-11 | 5.41
2011-05-14 | 8.56
2011-05-17 | 8.47
2011-05-20 | 7.28
2011-05-23 | 6.81
2011-05-26 | 7.95
2011-05-29 | 8.68
2011-06-01 | 9.47
2011-06-04 | 15.05
2011-06-07 | 19.19
2011-06-10 | 32.34
2011-06-13 | 24.87
2011-06-16 | 19.99
2011-06-19 | 17.6
2011-06-22 | 15.39
2011-06-25 | 16.95
2021-08-28 | 49056.86
2021-08-31 | 47074.77
2021-09-03 | 49329.01
2021-09-06 | 51769.06
2021-09-09 | 46078.38
2021-09-12 | 45144.79
2021-09-15 | 47072.12
2021-09-18 | 47263.6
2021-09-21 | 42901.56
2021-09-24 | 44888.96
2021-09-27 | 43182.63
2021-09-30 | 41522.38
2021-10-03 | 47727.1
2021-10-06 | 51505.83
2021-10-09 | 53867.3
2021-10-12 | 57452.01
2021-10-15 | 57397.74
2021-10-18 | 61546.21
2021-10-21 | 66063.56
2021-10-24 | 61277.28
2021-10-27 | 60345.17
2021-10-30 | 62249.18
2021-11-01 | 61029.5
2021-11-04 | 61441.83
2021-11-07 | 63293.22
2021-11-10 | 64976.73
2021-11-13 | 64420.94
2021-11-16 | 60172.26
2021-11-19 | 58133.02
2021-11-22 | 56301.52
2021-11-25 | 58935.45
2021-11-28 | 57292.28
2021-12-01 | 57229.76
2021-12-04 | 49253.86
2021-12-07 | 50645.41
2021-12-10 | 47137.46
2021-12-13 | 46757.09
2021-12-16 | 47658.38
2021-12-19 | 46689.28
2021-12-22 | 48628.35
2021-12-25 | 50470.89
2021-12-28 | 47601.26
2021-12-31 | 46249.56
2022-01-03 | 46441.99
2022-01-06 | 43120.63
2022-01-09 | 41864.44
2022-01-12 | 43926
2022-01-15 | 43146.53
2022-01-18 | 42381.48
2022-01-21 | 36480.85
2022-01-24 | 36678.82
2022-01-27 | 37146.85
2022-01-30 | 37918.62
2022-02-02 | 36912.68
2022-02-05 | 41435.43
2022-02-08 | 44133.28
2022-02-11 | 42401.27
2022-02-14 | 42580.94
2022-02-17 | 40565.69
2022-02-20 | 38382.32
2022-02-23 | 37291.48
2022-02-26 | 39103.91
2022-03-01 | 44418.83
2022-03-04 | 39141.25
2022-03-07 | 38032.5
2022-03-10 | 39437.89
2022-03-13 | 37820.39
2022-03-16 | 41133.08
2022-03-19 | 42222.32
2022-03-22 | 42372.67
2022-03-25 | 44334.33
2022-03-29 | 47115.93
